Title,wraplines,Occurred_by_parties,Impact,Impact Score,Date
"PM Modi attacks Mamata Banerjee for 'changed' stand on citizenship issue, 'spreading rumours'","Mamata Banerjee used to plead in Parliament to stop Bangladeshi infiltrators from coming to West Bengal and seek help for persecuted refugees from the neighbouring country, but she had changed her stand now due to political reasons, Modi said at a rally organised by the ruling Bharatiya Janata Party (BJP) at the Ramlila Maidan.",TMC,NEGATIVE,5,2019
Incidents of bribery in India reduced by 10% since last year: Survey,"The 'India Corruption Survey 2019', which received 1,90,000 responses from people in 248 districts, also stated that 51 per cent Indians paid bribe in the last 12 months.",BJP,POSITIVE,8.5,2019
View: Citizenship Bill aims to give dignity denied to Partition victims in east,"Over the decades, these erstwhile refugees have not only been seamlessly integrated but many have risen spectacularly.",BJP,NEGATIVE,7,2019
"View: Ayushman Bharat, a change whose time has come","Even after 15 years of successful operation of Yeshasvini, micro health insurance remained predominantly a southern and western Indian phenomenon.",BJP,POSITIVE,7.5,2019
"Nehru-Gandhi family has ""brand equity"": Adhir Chowdhury","Chowdhury said only a party like the Congress, with its ""strong"" ideological mooring, and pan-India presence, can counter the ""communal juggernaut"" of the BJP.",CPI(M),NEUTRAL,5,2019
"107 MLAs, majority from TMC, to join BJP 'very soon': Mukul Roy","""Nearly 107 MLAs are in touch with us. Majority of them are from the TMC. Few are from the Congress and the CPI(M). They are willing to join the saffron camp very soon,"" Roy said.",TMC,NEGATIVE,7.5,2019
"Trinamool Congress legislator, 16 councilors join BJP","Sunil Singh is a relative of MP Arjun Singh, who switched over from the TMC to the BJP just ahead of the recent Lok Sabha polls and won the Barrackpore seat.",TMC,NEGATIVE,6,2019
"In a tight corner, Rajeev Kumar may be named co-accused in Saradha scam",To be booked for criminal conspiracy for allegedly tampering with evidence to save the accused.,TMC,NEGATIVE,6.5,2019
"CBI summons ex-Kolkata police chief, asks him to appear before it on Monday","The agency has sought Kumar's custodial interrogation to prevent him from leaving the country, officials said Sunday.",TMC,NEGATIVE,5.5,2019
Saradha scam: CBI issues look out notice against Rajeev Kumar,All airports and immigration authorities have been alerted by the CBI this week to prevent him from leaving the country and intimate the agency on any possible move.,TMC,NEGATIVE,8.5,2019
Chit fund case: SC refuses urgent listing of Rajeev Kumar's plea for further protection from arrest,A three-judge bench headed by Chief Justice Ranjan Gogoi had on May 17 withdrawn the protection from arrest granted earlier to Kumar.,TMC,NEGATIVE,7,2019
Will support general caste reservation if Centre can implement it: Mamata Banerjee,"The CM further added that it was not right to cheat the young generation, only to get accolades before election.",TMC,POSITIVE,6.5,2019
10% reservation for economically weaker sections will enhance confidence of 'New India': Modi,"Addressing the BJP's National Convention at the Ramlila Maidan here, Modi said for first time in the country's history, there has not been any charge of corruption against a government.",BJP,POSITIVE,8,2019
Congress finalises alliance with Left for West Bengal polls,The Left parties had also favoured an alliance with the Congress for the state elections.,CPI(M),POSITIVE,6,2020
"West Bengal virtually on fire, seems to be fiddling politically': Guv Dhankhar","West Bengal Governor Jagdeep Dhankhar on December 06 slammed state Chief Minister Mamata Banerjee on the law and order situation in the state. He said the state is â€œvirtually on fireâ€ and seemed to be fiddling politically. He said, â€œThe State is virtually on fire and they seem to be fiddling politically, it can't be countenanced. I've sent them multiple reminders, but no effect on them is very big indication that it would take me lot of effort to say State govt is functioning constitutionally.â€ 'West Bengal virtually on fire, seems to be fiddling politically': Guv Dhankhar",TMC,NEGATIVE,7,2020
Mamata Banerjee owes apology for opening door to BJP: Adhir Ranjan Chowdhury,"Chowdhury told ET in an interview about West Bengal politics, adding â€œin the last Lok Sabha polls, Mamata deployed Suvendu Adhikari for months in my constituency to try and defeat me through all means.",TMC,NEGATIVE,6,2020
BJP worker shot at by TMC activist in Bengal's Howrah; condition stable,"The BJP, claiming it was political violence, allegedly ransacked the TMC worker's house, while the police and the ruling party in the state said the incident was a fallout of a land dispute between the two neighbours.",TMC,NEGATIVE,6.5,2020
"Mamata Banerjee should come out with white paper on killings, CAA will be implemented: Amit Shah","""We aim to build a strong Bengal in a new era of development. Mamata Banerjee aims to make her nephew the next chief minister,"" Shah said while addressing a press meet here. ""Since 2018 the West Bengal government has not sent the statistics of crime to NCRB. I want to ask Mamata Banerjee to come out with a white paper on political killings. Bengal tops the chart in political killings,"" he said.",BJP,POSITIVE,8.5,2020
Sourav Ganguly holds meeting with Jagdeep Dhankhar amid speculation of him joining politics,The governor also said that he accepted the Board of Control for Cricket in India (BCCI) president's invitation to visit the Eden Gardens stadium,--,NEUTRAL,5,2020
West Bengal Chief Minister Mamata Banerjee pays tribute to victims of political violence,"The chief minister described the killings at Nandigram in Purba Medinipur district as a ""barbaric massacre in the name of new dawn"" during the erstwhile Left Front rule.",TMC,POSITIVE,7,2020
"PM announces Rs 1,000 crore aid for Bengal, Rs 500 crore for Odisha","Modi made an aerial survey of areas devastated by Amphan on Friday and held review meetings with chief ministers Mamata Banerjee and Naveen Patnaik. Expressing solidarity with the people of West Bengal and grief to families who lost their kin, Modi announced an ex-gratia payment of Rs 2 lakh to the next of the kin of the deceased and Rs 50,000 to those who were seriously injured.",BJP,POSITIVE,7,2020
Sharad Pawar may travel to West Bengal in support of Mamata,NCP spokesperson Nawab Malik on Monday said that the BJP government in the Centre was â€˜trying to destabilise the Trinamool governmentâ€™.,TMC,POSITIVE,6,2020
Deputy Election Commissioner oversees poll preparedness in Bengal,"Sources close to the chief electoral officer in Bengal said Jain, who arrived in the city on Wednesday night, will be interacting with government officials over the next two days.",--,NEUTRAL,5,2020
"West Bengal Chief Minister Mamata Banerjee compares BJP leadership to Hitler, Mussolini","Banerjee, who is among the vocal critics of the saffron party, said it has a ""prepared script"" to break the movements against it and is trying to do so with the farmers' movement. The TMC supremo criticised BJP national president J P Nadda's outreach programme in her constituency Bhawanipore in the city on Wednesday and said it was poorly attended.",BJP,NEGATIVE,6.5,2020
"CPMâ€™s West Bengal priority wrong, says CPIMLâ€™s General Secretary","Though it was imperiously ignored as an inconsequent outfit by CPM and CPI during the 34-year Left Front rule in West Bengal till the 2011 debacle, CPIML calculates the Bihar show provides it a chance to try for an electoral foothold in neighbouring Bengal where it has never won a seat.",CPI(M),POSITIVE,7,2020
Congress mocks BJP for cosying up to Dalits before assembly polls in West Bengal,WBPCC president Adhir Ranjan Chowdhury was alluding to Union Home minister Amit Shah's visit to a tribal family in south Bengal during his two-day tour to the state.,CONG,POSITIVE,7,2020
Nearly 2.3 million West Bengal farmers sign up on their own on PM-Kisan portal,"â€œEach farmer in West Bengal would have got Rs 14,000 so far, including the instalment being transferred tomorrow (Friday) by the Prime Minister to farmers across India, translating to nearly Rs 9,800 crore for the stateâ€™s farmers,â€ a central government official told ET on condition of anonymity.",BJP,POSITIVE,7,2020
"TMC Heavyweight Suvendu Adhikari joins BJP; 9 MLAs, 1 MP also change sides",Two-time TMC MP from Bardhaman Purba Lok Sabha constituency Sunil Mondal also joined the BJP. He has been vocal about his differences with the party's leadership over the last few days.,TMC,NEGATIVE,8,2020
"Raj Bhavan under surveillance, claims West Bengal governor Jagdeep Dhankhar","""I would like to tell you all that the Raj Bhavan is under surveillance. It undermines the sanctity of the Raj Bhavan. I will do everything to protect its sanctity,"" Dhankhar told a press conference.",--,NEUTRAL,5,2020
Bangladesh communal violence resonates in West Bengal's political discourse,"The communal violence in Bangladesh has also revived the debate over the need to implement the Citizenship Amendment Act (CAA) in West Bengal, with the saffron party underling its need to help the persecuted Hindu minority in the neighbouring country.",BJP,NEGATIVE,7,2021
"West Bengal coal scam: TMC MP Abhishek Banerjee, his wife move Delhi HC challenging summons",Trinomool spokesperson Kunal Ghosh said that Abhishek Banerjee is fighting against the political vendetta of the BJP.,TMC,NEGATIVE,6.5,2021
West Bengal: 300 BJP supporters return to TMC after Gangajal â€˜purification of mindsâ€™,"As many as 300 BJP supporters, who were on hunger strike in front of a Trinamool Congress office in Birbhum demanding to be taken back into the party fold, were finally reinducted on Friday after they were sprinkled with â€˜Gangajalâ€™ â€œto cleanse their polluted mindsâ€. Friday incident in Banagram, in Sainthia constituency, was the latest in a series of such protests by defectors.",BJP,NEGATIVE,6,2021
"Babul Supriyo is not a good political organizer, his exit not a loss for BJP, says Suvendu Adhikari","After former union minister Babul Supriyo joined the Trinamool Congress (TMC), Leader of Opposition in West Bengal Assembly Suvendu Adhikari on Sept 18 said that Babul Supriyoâ€™s exit is not a loss for Bharatiya Janata Party (BJP). â€œBabul Supriyo should have told BJP before leaving the party. He is not a mass leader and not a good political organizer. However, personally, he is my good friend,â€ he said. (ANI)Babul Supriyo is not a good political organizer, his exit not a loss for BJP, says Suvendu Adhikari",TMC,POSITIVE,7,2021
"Bengal Elections 2021: Many Muslims want to come with us, says Dileep Ghosh of BJP","There are many Muslims who now want to come with us since they are fed up with the exploitation by their political leaders', says BJP West Bengal state President Dileep Ghosh, as the party prepares to challenge the decade long rule of Mamata Banerjee-led TMC. Speaking exclusively with Saurabh Bhattacharya of ET Online on why BJP is going to emerge victorious this time. Watch Now!Bengal Elections 2021: Many Muslims want to come with us, says Dileep Ghosh of BJP",BJP,POSITIVE,6.5,2021
West Bengal polls 2021: EC bans Mamata Banerjee from campaigning for 24 hours,The Election Commission on Monday barred West Bengal Chief Minister and Trinamool Congress leader Mamata Banerjee from campaigning for 24 hours for her remarks against central forces and a statement which had alleged religious overtones.West Bengal polls 2021: EC bans Mamata Banerjee from campaigning for 24 hours,TMC,NEGATIVE,7,2021
Election Commission has zero-tolerance to money and muscle power: Sunil Arora,"The full bench of the ECI, which is currently in the state to review preparedness for the assembly polls due in April-May, held meetings with representatives of political parties, senior government officials and police officers.",--,NEUTRAL,5,2021
West Bengal: Babul Supriyo formally resigns as Member of Parliament,"The development comes after the two-term MP from West Bengal's Asansol had on September 20 -- two days after joining the state's ruling Trinamool Congress party -- written to Birla, seeking a ""brief"" appointment with him to formally resign as a member of the House.",TMC,NEGATIVE,7,2021
Mamata Banerjee's injured leg kicks off political spat in West Bengal,"Banerjee suffered injuries on her left leg, hips, arm, chest, neck and shoulder as she fell down, apparently during a crowd surge when she was holding a rally after filing her nomination for the Nandigram seat. TMC leaders claimed it was the result of a conspiracy by the BJP to ""take her life"".",TMC,POSITIVE,7,2021
West Bengal: TMC's Sushmita Dev elected unopposed to Rajya Sabha,"The Former President of All India Mahila Congress, Sushmita Dev, is daughter of Assam Congress stalwart and influential Bengali leader Santosh Mohan Dev.",TMC,POSITIVE,7,2021
"West Bengal Elections 2021: Mamata Banerjee in Nandigram says, Khela hobey, jeta hobey","A day ahead of filing her nomination at Nandigram, West Bengal Chief Minister Mamata Banerjee addressed a rally at her newly adopted constituency where she said, ""Khela hobey ... Jeta hobey (the game is on and we will win)"". She also clarified why she decided to leave her home turf and pick up the battle in this Assembly constituency. Watch now!West Bengal Elections 2021: Mamata Banerjee in Nandigram says, Khela hobey, jeta hobey",TMC,POSITIVE,7.5,2021
"TMC decimates opposition, gains control of KMC for 3rd time in row","Mamata Banerjee's party won 132 seats and was all set to pocket two more to post a hat-trick of wins, decimating a frail challenge from the opposition BJP, the Left Front and the Congress, officials said. The BJP, which lost much of its steam after the assembly poll defeat, managed to win just three wards, a senior State Election Commission official said.",TMC,POSITIVE,7,2021
West Bengal: Mamata Banerjee's cabinet reshuffle on wednesday after minister's sacking,"Days after the sacking of ex-Bengal minister ParthaC hatterjee, West Bengal CM Mamata Banerjee today announced a cabinet reshuffle in the state. West Bengal: Mamata Banerjee's cabinet reshuffle on wednesday after minister's sacking",TMC,NEGATIVE,6.5,2022
"Unable to handle pressure', Dilip Ghosh takes a swipe at Arjun Singh after he joined TMC","Bharatiya Janata Party National Vice President Dilip Ghosh on May 22 hit out at former party leader Arjun Singh, who joined TMC, and claimed that the former BJP member was unable to handle the pressure, hence resigned. â€œLeaving and joining keeps happening in West Bengal politics. After he joined Bharatiya Janata Party, the way administrative bulldozer was razed on him, he could not handle the pressure, so he surrendered. Our party has reached a stature that people like Arjun Singh who joined us as MLA left as MP,â€ said leader Ghosh.'Unable to handle pressure', Dilip Ghosh takes a swipe at Arjun Singh after he joined TMC",TMC,POSITIVE,7,2022
BJP's fact-finding panel recommends CBI probe into 'gross' human rights violations by Kolkata police & TMC members,The Bharatiya Janata Party (BJP) five-member fact-finding committee on Saturday recommended a CBI probe enquiry and an enquiry by the National Human Rights Commission (NHRC) into 'gross human rights violation and brutality by Kolkata Police and TMC goons' on the day of 'Nabanna Abhijaan'. The committee observed that an NHRC team should go to Kolkata and conduct an enquiry on the 'gross human rights violation' on the day of the Abhijaan on September 13.,BJP,POSITIVE,6,2022
West Bengal: Partha Chatterjee sacked as minister; suspended from Trinamool,"Announcing the decision after the Cabinet meeting on Thursday, West Bengal CM Mamata Banerjee said: ""Chatterjee's departments will be under me from now.""",TMC,NEGATIVE,7.5,2022
Tough to stop infiltration without state govt support: Amit Shah in West Bengal,"""Trinamool Congress is spreading fear about CAA but we will implement it once the Covid-19 pandemic is over. Mamata Banerjee, you want infiltration to continue and want CAA not to get implemented,"" Shah challenged Banerjee in a public rally in Siliguri.",BJP,NEGATIVE,6.5,2022
Trinamool Congress wins majority in 102 civic bodies in West Bengal,"The BJP suffered a jolt in Darjeeling, Alipurduar and other previous strongholds. It performed badly in state president Sukanta Majumdar's area of Balurghat, national vice-president Dilip Ghosh's Kharagpur and opposition leader Suvendu Adhikari's stronghold of Contai. AITC won 17 of the 21 wards in Contai and BJP got just 3.",TMC,POSITIVE,7,2022
"Eight years later, Swachh Bharat stays A non-starter in Bengal","The programme, which was launched on October 2, 2014, envisages making urban India open defecation free (ODF) by funding construction of toilets and achieving 100% processing of municipal solid waste. The Centre launched the second phase of the programme last year.",BJP,POSITIVE,7,2022
Teacher recruitment scam: ED arrests Bengal minister Partha Chatterjee and close aide Arpita Mukherjee,"Traces of several properties have been identified by ED and links of various businessmen are also under scanner, ED sources said.ED had reached the residence of Chatterjee at 8 am on Friday in connection with the alleged West Bengal School Service Commission (WBSSC) teacher's recruitment irregularities.",TMC,NEGATIVE,8.5,2022
Congress starts 'padyatra' for political salvation,"In this land of countless 'tirthatans' (spiritual journeys) in search of eternal bliss and salvation, many politicians - especially when powered by ambitions and opportunities or stranded at the cross-roads of failures and confusion - have fallen back on padyatras, invented and iconised by Mahatma Gandhi against the British.",CONG,POSITIVE,6.5,2022
Birbhum killings: High Court orders CBI to probe Bhadu Sheikh's murder,"The murder of Bhadu Sheikh, Trinamool's deputy panchayat head, on March 21 had sparked retaliatory violence at the Bogtui village of Rampurhat in West Bengal's Birbhum district. The CBI is already investigating the death of nine people in the violent incidents.",TMC,POSITIVE,6.5,2022
ED questions TMC MP Abhishek Banerjee for 8 hours in Delhi,The 34-year-old Trinamool Congress (TMC) national general secretary entered the new office of the central probe agency in central Delhi around 11 am and left shortly before 8 pm.,TMC,NEGATIVE,6.5,2022
